acquiree_name,acquiree_country_code,state_code,acquiree_region,acquiree_city,acquirer_name,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquisition_type,acquired_on,price_usd,price,price_currency_code,acquiree_cb_url,acquirer_cb_url,acquiree_uuid,acquirer_uuid,acquisition_uuid,created_at,updated_at
Farm Hill,USA,CA,SF Bay Area,Redwood City,EAT Club,USA,CA,SF Bay Area,Redwood City,acquisition,2018-05-17,,,,https://www.crunchbase.com/organization/farm-hill,https://www.crunchbase.com/organization/eat-club,5ab1937d-f5e6-f76c-0be9-36451eeee0aa,801ca06e-8a99-731e-db14-a8f53fd47644,7e6cb725-7611-4713-a7d3-04913ed2f9be,2018-05-17 19:14:20,2018-05-17 19:14:20
Symphony Commerce,USA,CA,SF Bay Area,San Francisco,Quantum Retail,USA,MN,Minneapolis,Minneapolis,acquisition,2018-05-17,,,,https://www.crunchbase.com/organization/health-beauty-professional,https://www.crunchbase.com/organization/quantum-retail,9ef346c3-5861-c8d2-acca-9ef71dd7105d,e1acd426-8236-8b69-4ca5-c170eb43147b,c6488b67-c094-4baf-b983-6a9b7730ac40,2018-05-21 04:59:38,2018-05-21 04:59:38
DataScience.com,USA,CA,Los Angeles,Culver City,Oracle,USA,CA,SF Bay Area,Redwood Shores,acquisition,2018-05-16,,,,https://www.crunchbase.com/organization/datascience-inc-,https://www.crunchbase.com/organization/oracle,03a22135-b920-bf3f-f11a-4874a0f332d5,bef5bd4b-72c6-7877-d7ab-8bbe43f7bda7,7d6445e0-18fd-48e2-a0af-bb2c53ada873,2018-05-17 05:30:26,2018-05-17 05:30:26









































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































