uuid,category_name,category_group_list
00414591-ddef-8a0e-de5c-0cb829e8f2d9,mechanical design,hardware|design
008acc9a-35f8-f250-776c-1cb1a2961b59,flash sale,commerce and shopping
01b9cf39-904e-178c-d959-8089f1e90a77,gift,commerce and shopping




































































































































































































































































































































































