degree_uuid,institution_uuid,person_uuid,degree_type,subject,started_on,completed_on,is_completed,created_at,updated_at
0001d225-644f-243e-1b0b-c4c3b25ec70b,28b0336f-4f5a-8227-ebde-c3e1f726841a,c856f9e4-6dd4-1e06-ebd9-5eab782469e2,unknown,Computer Science,,,f,2013-12-15 05:44:21,2018-02-13 01:39:29
00072997-b9ab-85e0-815b-16f9b458d84f,d3f1f735-51c9-3306-04c0-0aa115b5ce43,aa5e5084-a9c2-bdf6-8f28-21085bfb335b,MBA,Business,,2009-01-01,t,2016-05-10 20:09:08,2018-02-13 01:39:29
0009b44c-e230-48d3-ab3e-1bf7b67a6cc4,2229cf72-d205-6247-54fa-70c765442cff,1689d2aa-f8cb-f410-5a1b-7f78c2ce6e32,JD,Law,,1995-01-01,t,2013-06-12 07:42:40,2018-02-13 01:39:29

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































