event_uuid,appearance_type,participant_uuid,participant_type,created_at,updated_at
fec47161-7715-5ecd-611c-f08df1c5afe5,exhibitor,64a09e0d-bd35-4dad-ae57-43874efb1220,,2018-05-21 09:12:55,2018-05-21 09:12:55
f1d188b9-cb9a-4e52-ace9-f03190a61a60,sponsor,cc79ecff-fe86-0962-de34-2b25c16136f1,,2018-05-21 06:59:36,2018-05-21 06:59:36
f1d188b9-cb9a-4e52-ace9-f03190a61a60,sponsor,782dabf9-ea40-20ef-5fb5-b000bc9b3838,,2018-05-21 06:59:36,2018-05-21 06:59:36





















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































