funding_round_uuid,investor_uuid,partner_uuid
c1287565-4cd1-b3aa-57da-34e723345e66,34a9bb66-0984-8de0-e7fb-13e976b4a135,2f637a75-1880-7fa4-8368-26f1417cd7f4
32e88c73-8a4c-ceda-793b-b40ed38269c4,ec26a756-d387-a455-c6fc-90fe11ece02c,67a272d8-ff59-aba1-8b63-49d7fa4d13a2
32e88c73-8a4c-ceda-793b-b40ed38269c4,34a9bb66-0984-8de0-e7fb-13e976b4a135,279ddb4d-d5dc-7434-eb8d-bbc5144f92fa











































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































