iter	Passed	Remaining
0	154	154555
1	169	84827
2	183	60997
3	199	49748
4	215	42951
5	230	38191
6	246	34953
7	262	32505
8	278	30702
9	292	28945
10	305	27444
11	318	26258
12	335	25497
13	350	24657
14	366	24082
15	380	23411
16	396	22918
17	412	22526
18	427	22092
19	442	21675
20	456	21290
21	471	20967
22	487	20698
23	501	20376
24	515	20109
25	529	19842
26	542	19547
27	555	19291
28	571	19119
29	584	18896
30	599	18742
31	613	18557
32	627	18385
33	640	18205
34	654	18052
35	668	17900
36	684	17802
37	697	17670
38	711	17523
39	727	17459
40	741	17346
41	755	17236
42	770	17155
43	784	17055
44	801	17006
45	815	16917
46	830	16837
47	845	16771
48	859	16673
49	873	16592
50	889	16551
51	902	16455
52	917	16392
53	931	16321
54	945	16237
55	957	16145
56	975	16144
57	990	16082
58	1004	16023
59	1017	15946
60	1031	15875
61	1044	15809
62	1057	15733
63	1070	15662
64	1086	15624
65	1099	15555
66	1115	15531
67	1128	15473
68	1142	15413
69	1157	15371
70	1172	15335
71	1187	15308
72	1202	15274
73	1216	15219
74	1231	15182
75	1247	15161
76	1260	15112
77	1274	15062
78	1288	15018
79	1301	14965
80	1315	14927
81	1328	14871
82	1341	14821
83	1354	14772
84	1367	14722
85	1380	14671
86	1392	14617
87	1405	14565
88	1417	14511
89	1430	14464
90	1443	14420
91	1456	14373
92	1468	14326
93	1481	14281
94	1494	14241
95	1508	14202
96	1521	14161
97	1535	14132
98	1550	14113
99	1565	14093
100	1580	14067
101	1594	14036
102	1607	13996
103	1620	13961
104	1633	13927
105	1646	13888
106	1659	13850
107	1672	13816
108	1686	13782
109	1698	13742
110	1712	13713
111	1725	13682
112	1739	13653
113	1751	13615
114	1764	13578
115	1777	13545
116	1790	13513
117	1804	13484
118	1817	13457
119	1830	13426
120	1844	13401
121	1858	13377
122	1872	13354
123	1886	13329
124	1900	13304
125	1915	13283
126	1930	13272
127	1946	13258
128	1960	13237
129	1974	13212
130	1989	13198
131	2004	13180
132	2019	13162
133	2035	13152
134	2048	13125
135	2063	13112
136	2077	13087
137	2091	13062
138	2105	13042
139	2118	13014
140	2131	12984
141	2145	12960
142	2158	12937
143	2173	12917
144	2186	12890
145	2199	12862
146	2211	12834
147	2224	12807
148	2237	12778
149	2249	12749
150	2262	12723
151	2275	12694
152	2288	12668
153	2300	12638
154	2312	12609
155	2325	12583
156	2339	12559
157	2352	12536
158	2365	12511
159	2377	12484
160	2390	12458
161	2403	12433
162	2416	12407
163	2429	12382
164	2441	12357
165	2454	12332
166	2467	12307
167	2480	12284
168	2493	12262
169	2508	12245
170	2521	12226
171	2535	12203
172	2547	12180
173	2560	12155
174	2573	12130
175	2585	12105
176	2598	12080
177	2611	12058
178	2624	12036
179	2637	12013
180	2650	11992
181	2662	11968
182	2676	11947
183	2689	11925
184	2701	11901
185	2714	11877
186	2727	11856
187	2740	11837
188	2753	11814
189	2766	11792
190	2778	11769
191	2791	11748
192	2804	11726
193	2817	11704
194	2829	11681
195	2842	11658
196	2855	11638
197	2867	11614
198	2880	11592
199	2892	11570
200	2905	11550
201	2918	11529
202	2931	11510
203	2944	11489
204	2957	11469
205	2970	11448
206	2983	11428
207	2995	11407
208	3008	11386
209	3020	11363
210	3033	11343
211	3046	11322
212	3058	11301
213	3071	11279
214	3084	11261
215	3096	11240
216	3109	11221
217	3122	11201
218	3136	11185
219	3149	11166
220	3164	11152
221	3177	11134
222	3190	11116
223	3202	11095
224	3216	11080
225	3230	11062
226	3243	11043
227	3255	11024
228	3268	11005
229	3281	10985
230	3294	10966
231	3307	10948
232	3320	10929
233	3333	10911
234	3345	10892
235	3358	10873
236	3371	10855
237	3384	10836
238	3397	10817
239	3410	10799
240	3423	10783
241	3437	10767
242	3450	10747
243	3463	10729
244	3475	10711
245	3489	10694
246	3502	10676
247	3514	10657
248	3527	10639
249	3539	10619
250	3551	10599
251	3564	10580
252	3577	10562
253	3589	10542
254	3602	10524
255	3615	10507
256	3628	10490
257	3641	10473
258	3654	10455
259	3667	10438
260	3680	10420
261	3693	10404
262	3707	10388
263	3721	10374
264	3734	10357
265	3747	10340
266	3760	10323
267	3773	10308
268	3786	10290
269	3799	10273
270	3812	10257
271	3825	10239
272	3838	10222
273	3851	10204
274	3864	10187
275	3877	10170
276	3890	10153
277	3902	10135
278	3915	10119
279	3928	10102
280	3942	10086
281	3954	10069
282	3967	10052
283	3980	10035
284	3993	10018
285	4006	10001
286	4019	9985
