,Parameter,Random Forest,Gradient Boosting,XGBoost Classifier
0,ACCURACY,0.6252252252252253,0.6027027027027028,0.6126126126126126
1,valuation,0.11710189895759468,0.1331412409094884,0.08281456679105759
2,total_sum_raised_before,0.16128055607616432,0.18981790548955157,0.1047147810459137
3,val_rate,0.08331137446460424,0.06170400152825493,0.061953287571668625
4,time_from_previous,0.08492639824326441,0.09696546446386758,0.0732022151350975
5,time_from_start,0.07840239001520197,0.09341834879811581,0.06799311190843582
6,from_top5_count,0.03913234529687694,0.01513825849304161,0.06136124208569527
7,PHD_count,0.032064290869545646,0.020411912439461204,0.07206598669290543
8,Master_count,0.0222255667522259,0.00916880127481822,0.054518572986125946
9,MBA_count,0.03673127453750758,0.03038668281681018,0.05508590489625931
10,exp_months_min,0.07545707792857989,0.10362181056517157,0.06575966626405716
11,exp_months_max,0.08678420489347202,0.08469163191774996,0.07169831544160843
12,exp_months_mean,0.08266276581590787,0.06298018764387014,0.07618306577205658
13,top_investor_rounds,0.07011637203241301,0.06509510450986311,0.10012992471456528
14,other_investor_rounds,0.029803484116641528,0.03345864914993569,0.0525192990899086
