,Parameter,Random Forest,Gradient Boosting,XGBoost Classifier
0,ACCURACY,0.5774774774774776,0.5423423423423424,0.5585585585585585
1,valuation,0.11171451280297262,0.11804152460974093,0.07642465829849243
2,total_sum_raised_before,0.14373161900631057,0.20646600704553233,0.09114932268857956
3,val_rate,0.08510814830918156,0.11490797748096633,0.06132841110229492
4,time_from_previous,0.09443619412383854,0.07158883322226298,0.06973539292812347
5,time_from_start,0.07530907429400448,0.07894869691413946,0.05868728831410408
6,from_top5_count,0.04039745719464591,0.03781436752229967,0.07768344134092331
7,PHD_count,0.030231363400723743,0.030145510799590335,0.09118537604808807
8,Master_count,0.02272400089899466,0.009532123222812793,0.06918493658304214
9,MBA_count,0.040040264414488144,0.03401084661427026,0.0522901676595211
10,exp_months_min,0.07937232493508939,0.0355629077314958,0.071752168238163
11,exp_months_max,0.09176749802026635,0.13272750059672422,0.07081283628940582
12,exp_months_mean,0.08675722504969555,0.08536577098166707,0.07127419114112854
13,top_investor_rounds,0.06263604960023253,0.020035583147926753,0.08929770439863205
14,other_investor_rounds,0.035774267949555995,0.024852350110571037,0.04919421672821045
