funding_round_uuid,company_name,company_uuid,investment_type,announced_on,raised_amount_usd,post_money_valuation_usd,exit_date,exit_type,price_usd,money_raised_usd,time_from_start,time_from_previous,top_investor,other_investor,top_investor_count,other_investor_count,top_investor_sum,other_investor_sum,top_investor_rounds,other_investor_rounds
4cb76778-cc8c-f4dd-18bf-3d06780a495c,VertiFlex,058a5313-ec27-d591-e912-2931b98e99ed,series_a,2005-07-07,6330000.0,,,,,,0.0,,1.0,1.0,4.0,3.0,12.0,6.0,5.0,5.0
c1920c7e-4a62-3275-a1a7-7387c6348a99,VertiFlex,058a5313-ec27-d591-e912-2931b98e99ed,series_b,2007-01-22,20000000.0,,,,,,564.0,564.0,1.0,1.0,4.0,3.0,12.0,6.0,5.0,5.0
04c77602-7878-8e0c-3e8a-5598a82ac0e9,VertiFlex,058a5313-ec27-d591-e912-2931b98e99ed,series_c,2008-06-25,28280000.0,,,,,,1084.0,520.0,1.0,1.0,4.0,3.0,12.0,6.0,5.0,5.0
cf92817c-9369-d8c4-a836-5ffc239de485,VertiFlex,058a5313-ec27-d591-e912-2931b98e99ed,series_unknown,2009-07-30,8000000.0,,,,,,1484.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
9e838a61-e07a-1d2b-6b2a-77ebc739914a,VertiFlex,058a5313-ec27-d591-e912-2931b98e99ed,series_unknown,2010-07-02,2000000.0,,,,,,1821.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
02882865-5328-891d-a20c-42cc9a40032d,VertiFlex,058a5313-ec27-d591-e912-2931b98e99ed,series_unknown,2010-12-15,8400000.0,,,,,,1987.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
a593537d-351c-a9e1-087b-f94fb65d2f3e,VertiFlex,058a5313-ec27-d591-e912-2931b98e99ed,series_unknown,2011-02-01,14000000.0,,,,,,2035.0,48.0,1.0,1.0,4.0,3.0,12.0,6.0,5.0,5.0
af268d87-3da0-093a-f85d-89ca5b65c286,VertiFlex,058a5313-ec27-d591-e912-2931b98e99ed,series_unknown,2012-01-06,8000000.0,,,,,,2374.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
a0b43b4a-1083-0c09-e4d7-4eade40ad00f,VertiFlex,058a5313-ec27-d591-e912-2931b98e99ed,series_unknown,2013-08-08,4000000.0,,,,,,2954.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
3dfe71ff-73eb-03bc-e45a-ca0f79bd869f,VertiFlex,058a5313-ec27-d591-e912-2931b98e99ed,series_unknown,2014-09-22,6000000.0,,,,,,3364.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
8b8e2d17-69ba-2418-5eaa-ba7edd796303,VertiFlex,058a5313-ec27-d591-e912-2931b98e99ed,series_unknown,2015-07-08,4790000.0,,,,,,3653.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
