funding_round_uuid,company_name,company_uuid,investment_type,announced_on,raised_amount_usd,post_money_valuation_usd,exit_date,exit_type,price_usd,money_raised_usd,time_from_start,time_from_previous,industry,top_investor,other_investor,top_investor_count,other_investor_count,top_investor_sum,other_investor_sum,top_investor_rounds,other_investor_rounds
778db45f-e9d1-3f73-86f4-ae4cc79c48ff,Lot18,003d89d4-47dc-e35a-ddf6-eda9940f3ba7,seed,2010-01-01,500000.0,,,,,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
fc2c2560-8bb0-90d1-b048-ee9cfc3f301d,Lot18,003d89d4-47dc-e35a-ddf6-eda9940f3ba7,series_a,2010-11-10,3000000.0,,,,,,313.0,313.0,1.0,1.0,0.0,3.0,2.0,6.0,2.0,3.0,1.0
d863a1b9-dda0-284e-3258-fa43a20d305c,Lot18,003d89d4-47dc-e35a-ddf6-eda9940f3ba7,series_b,2011-05-02,10000000.0,,,,,,486.0,173.0,1.0,1.0,0.0,3.0,2.0,6.0,2.0,3.0,1.0
4c9cb685-ec9a-92ed-64c0-062040d9573e,Lot18,003d89d4-47dc-e35a-ddf6-eda9940f3ba7,series_unknown,2011-08-24,1000000.0,,,,,,600.0,114.0,1.0,0.0,1.0,3.0,2.0,6.0,2.0,3.0,1.0
1006ef75-d2f2-bac4-5737-dae2075cf616,Lot18,003d89d4-47dc-e35a-ddf6-eda9940f3ba7,series_c,2011-11-04,30000000.0,,,,,,672.0,72.0,1.0,1.0,0.0,3.0,2.0,6.0,2.0,3.0,1.0
-,Lot18,003d89d4-47dc-e35a-ddf6-eda9940f3ba7,death,2015-08-01,0.0,0.0,,,,,2038.0,1366.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
f92e5076-a285-cf58-fa7f-1e0fda5eb166,CardiAQ Valve Technologies,009e8957-d102-c674-6c9c-98eb11ac8e32,seed,2009-05-13,750000.0,,2015-07-10,sold,350000000.0,,0.0,,2.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
e0e9d781-4d70-974a-35fb-9763b5a9ff1f,CardiAQ Valve Technologies,009e8957-d102-c674-6c9c-98eb11ac8e32,series_a,2010-01-12,6500000.0,,2015-07-10,sold,350000000.0,,244.0,244.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
a9a651a1-7849-9329-e97a-8ce957637b71,CardiAQ Valve Technologies,009e8957-d102-c674-6c9c-98eb11ac8e32,series_b,2012-11-29,37300000.0,,2015-07-10,sold,350000000.0,,1296.0,1052.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0
-,CardiAQ Valve Technologies,009e8957-d102-c674-6c9c-98eb11ac8e32,sold,2015-07-10,,350000000.0,2015-07-10,sold,350000000.0,,2249.0,953.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
