,Parameter,sklearn RF,xgboost RF,sklearn GB,XGBoost GB,LightGBM GB
0,ACCURACY,0.6994845360824742,0.654639175257732,0.7041237113402061,0.6855670103092784,0.6701030927835051
1,F1,0.6931504638685011,0.6139246146077761,0.6968167409056468,0.6749883277031667,0.6423963133640553
2,val_log,0.12231879735063753,0.09224182367324829,0.11158469086838425,0.12239810079336166,96.0
3,sum_raised_log,0.1626621991730388,0.10192489624023438,0.16352707501915598,0.1425480842590332,119.0
4,industry,0.07364332983009646,0.16034746170043945,0.07966821482234555,0.11671826243400574,109.0
5,val_rate,0.05918553177877665,0.09549794346094131,0.09716639409080877,0.05848254635930061,56.0
6,time_from_previous,0.06017911233434975,0.09957487881183624,0.09347771316929172,0.053513962775468826,73.0
7,time_from_start,0.06798423304982175,0.10708782076835632,0.11371713456433244,0.05922586843371391,89.0
8,top_investor_count,0.16540605433408923,0.11957322061061859,0.08614243614630071,0.17825792729854584,142.0
9,other_investor_count,0.03289701944110589,0.09453696757555008,0.03662407213223709,0.06038917228579521,46.0
10,cumsum_add_ritter,0.255723722708084,0.12921497225761414,0.2180922691871435,0.2084660679101944,93.0
