,Parameter,sklearn RF,xgboost RF,sklearn GB,XGBoost GB,LightGBM GB
0,ACCURACY,0.7066326530612246,0.6938775510204082,0.6239795918367348,0.7346938775510204,0.673469387755102
1,F1,0.7049872824255958,0.6854942233632862,0.6228941549291772,0.7306553911205074,0.656140350877193
2,val_log,0.09442777842198545,0.08797334879636765,0.08025226186277325,0.08412972837686539,56.0
3,sum_raised_log,0.16894672370435423,0.1376415193080902,0.2355410299138772,0.19172249734401703,67.0
4,industry,0.0597917157955532,0.12592732906341553,0.05676038944115852,0.16557475924491882,68.0
5,val_rate,0.07826172576674045,0.059393543750047684,0.07909682025007905,0.052200961858034134,17.0
6,time_from_previous,0.08031994326832874,0.06432949006557465,0.08510612310789592,0.05425093322992325,27.0
7,time_from_start,0.08198569255694801,0.0562061183154583,0.09143545225737051,0.05594722554087639,39.0
8,top_investor_count,0.09526627079266581,0.1707533448934555,0.07494064057287578,0.16853561997413635,81.0
9,other_investor_count,0.040047236161455044,0.057606879621744156,0.023853747156553577,0.04960309714078903,12.0
10,Deflator,0.300952913531969,0.24016845226287842,0.27301353543741613,0.17803512513637543,50.0
