,Parameter,sklearn RF,xgboost RF,sklearn GB,XGBoost GB,LightGBM GB
0,ACCURACY,0.7201030927835053,0.7164948453608248,0.7082474226804123,0.7216494845360825,0.6752577319587629
1,F1,0.7155187224357852,0.7100149476831092,0.7035488558734111,0.7165584415584416,0.6421607378129117
2,val_log,0.11209212535969307,0.09275592118501663,0.10516551018317499,0.13698630034923553,32.0
3,sum_raised_log,0.1481084107727142,0.09728402644395828,0.1450336114989081,0.13886819779872894,51.0
4,industry,0.047235939655062203,0.11844046413898468,0.04834514713788453,0.09307076036930084,23.0
5,val_rate,0.06637583775310298,0.06670047342777252,0.08299668646066331,0.04446498677134514,7.0
6,time_from_previous,0.060281763138620194,0.06848430633544922,0.08175014502149781,0.04882782697677612,14.0
7,time_from_start,0.065011695653688,0.0730392262339592,0.08218583387805349,0.04891746863722801,6.0
8,top_investor_count,0.103452859402453,0.14496853947639465,0.06506002414588966,0.1615954041481018,41.0
9,other_investor_count,0.03335179692059441,0.07387489080429077,0.040754155677684964,0.049871865659952164,3.0
10,Deflator,0.30865506020983996,0.18717902898788452,0.25308526969557266,0.23049989342689514,19.0
11,1dd_unicorn_premium,0.055434511134232076,0.07727312296628952,0.09562361630067046,0.0468972772359848,4.0
