,Parameter,Random Forest,Gradient Boosting,XGBoost Classifier
0,ACCURACY,0.7081632653061225,0.6989795918367346,0.7295918367346939
1,val_log,0.08262055080345769,0.09583487636241973,0.07715677469968796
2,sum_raised_log,0.1317008737490884,0.14419771241408802,0.10939732193946838
3,industry,0.04874649905563423,0.052643083774394896,0.07655715197324753
4,val_rate,0.05416926661155681,0.06579212691584821,0.035667140036821365
5,time_from_previous,0.060649107678501624,0.06167316543981659,0.052521295845508575
6,time_from_start,0.05698199861170446,0.09035757599479219,0.04288555309176445
7,top_investor_rounds,0.07947678801165091,0.06691920245252488,0.10208342969417572
8,other_investor_rounds,0.027462814618877607,0.024964704421986846,0.038728777319192886
9,Deflator,0.08166986079165828,0.04328645991104015,0.05876334011554718
10,Deflator_1M,0.1010136588954396,0.1719494219289782,0.1485053300857544
11,Deflator_3M,0.0935284860734354,0.038717748073818545,0.12488117069005966
12,Deflator_6M,0.10676099960246813,0.0992649530203692,0.08351392298936844
13,Deflator_9M,0.07521909549652692,0.04439896928992256,0.04933873191475868
