,Parameter,Random Forest,Gradient Boosting,XGBoost Classifier
0,ACCURACY,0.7209183673469387,0.6989795918367346,0.7397959183673469
1,ACCURACY,0.10855172441192058,0.08951424764973548,0.09066589176654816
2,val_log,0.17732445480518388,0.2127154215045099,0.1380700021982193
3,sum_raised_log,0.05893364778671526,0.05533149514261728,0.16880610585212708
4,industry,0.07779956937472463,0.09041486905763532,0.06182247772812843
5,val_rate,0.08738501296019993,0.10228206743490983,0.06897777318954468
6,time_from_previous,0.08506252377436958,0.10688087877230765,0.06393203139305115
7,time_from_start,0.10488083668628143,0.07156222462499,0.1611318588256836
8,top_investor_count,0.041203427463154065,0.030193301337419775,0.058205656707286835
9,other_investor_count,0.25885880273745066,0.24110549447587476,0.18838822841644287
10,Deflator,,,
