,Parameter,Random Forest,Gradient Boosting,XGBoost Classifier
0,ACCURACY,0.7066326530612244,0.7015306122448979,0.7040816326530612
1,val_log,0.11158169742603966,0.12059596332312972,0.09521257877349854
2,sum_raised_log,0.17799182478980127,0.17767332719659995,0.1667158156633377
3,industry,0.06942052302499524,0.05411699006066173,0.12133554369211197
4,val_rate,0.08336013507017137,0.09385885880346458,0.0643916204571724
5,time_from_previous,0.07947457511803449,0.08443207386017541,0.06798166781663895
6,time_from_start,0.08452373929256922,0.10489179530875477,0.06871633976697922
7,top_investor_rounds,0.09411168818920988,0.08268328234068434,0.14785243570804596
8,other_investor_rounds,0.03719885423329615,0.026502381125569296,0.057891324162483215
9,Deflator_3M,0.26233696285588276,0.2552453279809603,0.20990270376205444
