iter	RMSE
0	1.285212735
1	1.236997061
2	1.194622758
3	1.158384371
4	1.127036771
5	1.101025633
6	1.078969489
7	1.058951944
8	1.042966506
9	1.028406982
10	1.016558338
11	1.006079251
12	0.9967277697
13	0.9883824136
14	0.9816338511
15	0.9757693637
16	0.970325261
17	0.9652436676
18	0.9608050868
19	0.9568092693
20	0.9531484598
21	0.9495926911
22	0.9463205105
23	0.9437371324
24	0.9414193553
25	0.9391470994
26	0.937068431
27	0.9349422249
28	0.9332010812
29	0.9316267559
30	0.9298736322
31	0.9286478223
32	0.9269520992
33	0.9253445223
34	0.923765134
35	0.9221238511
36	0.9210345529
37	0.9197268692
38	0.918447801
39	0.917123129
40	0.9159460453
41	0.915158246
42	0.9140001337
43	0.9130037869
44	0.9121067922
45	0.911157414
46	0.9100667477
47	0.908514398
48	0.9076941034
49	0.9066018635
50	0.90586656
51	0.9048999289
52	0.9038786248
53	0.9027618212
54	0.901357471
55	0.9004518258
56	0.8993632276
57	0.8981528081
58	0.897192816
59	0.8963014981
60	0.8953856315
61	0.8944098043
62	0.893626775
63	0.8929062916
64	0.8918621336
65	0.8910215611
66	0.8898772471
67	0.8891342775
68	0.8882861186
69	0.8870682941
70	0.886264901
71	0.8854743008
72	0.8846534723
73	0.884180106
74	0.8834655731
75	0.8824275626
76	0.8813287797
77	0.8804285249
78	0.8795880023
79	0.878638634
80	0.8780763229
81	0.8771077873
82	0.8763465555
83	0.8755973289
84	0.8747483758
85	0.8739040212
86	0.8732072542
87	0.8722229771
88	0.8716451327
89	0.8707661123
90	0.8702383657
91	0.869690638
92	0.8684765294
93	0.867474869
94	0.8665879902
95	0.8656622832
96	0.8649564082
97	0.8639046851
98	0.8629010313
99	0.8621894626
100	0.8612274363
101	0.8600980153
102	0.8594099283
103	0.8588555835
104	0.8578836437
105	0.8573880523
106	0.8565954341
107	0.856123327
108	0.8556511681
109	0.8550086991
110	0.8545244624
111	0.8539670222
112	0.8533682252
113	0.8528220008
114	0.8523684015
115	0.8516627974
116	0.8511884378
117	0.8504367041
118	0.8496980598
119	0.8491596297
120	0.8484820972
121	0.847892976
122	0.8471154282
123	0.8462045702
124	0.8456671104
125	0.8449897533
126	0.844276386
127	0.8435720593
128	0.8427646135
129	0.8422198061
130	0.841679879
131	0.8409234406
132	0.8405040182
133	0.8399001777
134	0.8392646316
135	0.8383581543
136	0.8378948775
137	0.8374479146
138	0.8369637503
139	0.8360016351
140	0.8354336141
141	0.8342454736
142	0.8338119284
143	0.8332921569
144	0.8324697062
145	0.8319098665
146	0.8313493869
147	0.8303636692
148	0.8294442563
149	0.8289158282
150	0.8283066105
151	0.8277904866
152	0.8270009913
153	0.8265197554
154	0.8256712234
155	0.8250806841
156	0.8240919593
157	0.8236627315
158	0.8228558225
159	0.8221739475
160	0.8215060716
161	0.8210682431
162	0.8205539111
163	0.8197568431
164	0.8193500901
165	0.8186812681
166	0.8179521688
167	0.8171622546
168	0.8166418722
169	0.8161544525
170	0.8156019142
171	0.814967907
172	0.8146070298
173	0.8138243892
174	0.8133873496
175	0.8129473017
176	0.8122186522
177	0.8116140804
178	0.8109388183
179	0.8103066875
180	0.8096476839
181	0.8091957512
182	0.8085775098
183	0.8083088655
184	0.8079634432
185	0.8073285851
186	0.8068831021
187	0.8060207608
188	0.8050009912
189	0.8042327869
190	0.8035617101
191	0.803130254
192	0.802117128
193	0.8014994726
194	0.8007069626
195	0.8000552455
196	0.7994478893
197	0.7986548821
198	0.798065824
199	0.7976980271
200	0.7971199683
201	0.7966551091
202	0.7961343489
203	0.7955465434
204	0.794918728
205	0.7944214115
206	0.7938794026
207	0.7932197527
208	0.7925693395
209	0.7918435188
210	0.7913644117
211	0.7908281792
212	0.7902606412
213	0.7894210891
214	0.7890246234
215	0.788627516
216	0.7879431823
217	0.787524239
218	0.786847966
219	0.7862454481
220	0.7854774222
221	0.7849635085
222	0.784636934
223	0.7839457863
224	0.7830761087
225	0.7824711621
226	0.7820676037
227	0.7816883618
228	0.7812340476
229	0.7807221852
230	0.7801685907
231	0.7796224647
232	0.7792290254
233	0.7787599353
234	0.7782614149
235	0.7775644595
236	0.7769450208
237	0.7764552755
238	0.7758288381
239	0.7749681044
240	0.7743603511
241	0.7738072905
242	0.7733082916
243	0.7727358815
244	0.7721764332
245	0.7716814228
246	0.77132568
247	0.770716327
248	0.7700374559
249	0.7692438875
250	0.7682912217
251	0.7679473457
252	0.7673898598
253	0.7667391634
254	0.7662808222
255	0.7655902939
256	0.7648994696
257	0.7642190961
258	0.7637806793
259	0.7634478863
260	0.7630093512
261	0.7624347008
262	0.7618130677
263	0.7611108223
264	0.7607141782
265	0.7601270275
266	0.75951977
267	0.7589211801
268	0.7585163773
269	0.7578575331
270	0.7575260144
271	0.7568991303
272	0.7563359285
273	0.7559388451
274	0.7553916761
275	0.7550766716
276	0.7547974778
277	0.7543810272
278	0.7535116775
279	0.7531818163
280	0.7528831992
281	0.752580951
282	0.7521027011
283	0.7517199955
284	0.7514618101
285	0.7510025157
286	0.7505393
287	0.7500480022
288	0.7493505995
289	0.748801869
290	0.7483923281
291	0.7480339379
292	0.7472611348
293	0.7466860344
294	0.7460249985
295	0.7452982194
296	0.7447266699
297	0.7445163553
298	0.7440851378
299	0.743644163
300	0.743027563
301	0.7420689529
302	0.7418384797
303	0.7414621786
304	0.7409777984
305	0.7405134894
306	0.7397945797
