iter	Passed	Remaining
0	225	112605
1	294	73271
2	358	59352
3	416	51660
4	488	48354
5	550	45323
6	612	43149
7	677	41695
8	741	40431
9	800	39246
10	867	38563
11	931	37865
12	992	37194
13	1072	37231
14	1138	36813
15	1200	36300
16	1259	35794
17	1320	35371
18	1380	34945
19	1442	34625
20	1506	34360
21	1568	34069
22	1629	33791
23	1690	33528
24	1751	33278
25	1811	33018
26	1871	32783
27	1933	32584
28	1991	32352
29	2053	32167
30	2114	31990
31	2174	31798
32	2235	31637
33	2296	31478
34	2358	31339
35	2419	31182
36	2481	31046
37	2544	30933
38	2603	30771
39	2664	30642
40	2727	30536
41	2787	30395
42	2848	30272
43	2909	30154
44	2970	30032
45	3030	29914
46	3091	29794
47	3151	29678
48	3211	29561
49	3271	29443
50	3332	29337
51	3391	29219
52	3455	29147
53	3517	29049
54	3579	28959
55	3642	28883
56	3705	28796
57	3767	28714
58	3828	28619
59	3889	28526
60	3954	28456
61	4015	28366
62	4076	28278
63	4137	28184
64	4198	28100
65	4263	28034
66	4327	27968
67	4387	27875
68	4450	27798
69	4510	27705
70	4571	27621
71	4631	27534
72	4692	27450
73	4751	27355
74	4812	27271
75	4874	27193
76	4935	27110
77	4999	27051
78	5060	26968
79	5122	26891
80	5181	26804
81	5242	26722
82	5302	26640
83	5363	26561
84	5425	26488
85	5489	26423
86	5548	26338
87	5609	26264
88	5669	26179
89	5729	26101
90	5790	26023
91	5850	25943
92	5910	25868
93	5972	25794
94	6030	25710
95	6092	25638
96	6152	25561
97	6211	25480
98	6272	25408
99	6331	25327
100	6392	25251
101	6455	25188
102	6516	25115
103	6576	25042
104	6674	25110
105	6741	25058
106	6801	24982
107	6861	24906
108	6924	24839
109	6985	24765
110	7046	24692
111	7107	24622
112	7166	24544
113	7226	24468
114	7287	24397
115	7348	24324
116	7408	24252
117	7470	24184
118	7531	24112
119	7593	24045
120	7654	23976
121	7715	23905
122	7776	23833
123	7837	23765
124	7897	23693
125	7961	23631
126	8021	23559
127	8082	23490
128	8143	23421
129	8205	23353
130	8263	23277
131	8324	23208
132	8384	23135
133	8446	23070
134	8505	22996
135	8569	22935
136	8629	22866
137	8697	22814
138	8757	22744
139	8816	22671
140	8875	22598
141	8938	22534
142	9000	22469
143	9061	22400
144	9122	22334
145	9182	22264
146	9243	22195
147	9305	22132
148	9367	22067
149	9426	21995
150	9488	21929
151	9547	21858
152	9609	21794
153	9670	21726
154	9731	21661
155	9793	21596
156	9853	21527
157	9914	21460
158	9975	21393
159	10035	21325
160	10095	21256
161	10156	21190
162	10216	21122
163	10277	21057
164	10338	20990
165	10399	20923
166	10461	20859
167	10521	20792
168	10582	20726
169	10643	20660
170	10706	20598
171	10769	20537
172	10827	20465
173	10888	20399
174	10950	20337
175	11012	20272
176	11072	20205
177	11134	20141
178	11195	20076
179	11253	20005
180	11313	19939
181	11373	19871
182	11432	19803
183	11492	19737
184	11554	19673
185	11616	19610
186	11676	19544
187	11738	19481
188	11800	19418
189	11861	19352
190	11925	19292
191	11984	19225
192	12045	19160
193	12106	19096
194	12168	19032
195	12228	18967
196	12289	18901
197	12352	18840
198	12413	18776
199	12473	18710
200	12533	18644
201	12595	18580
202	12656	18516
203	12716	18451
204	12790	18406
205	12861	18356
206	12921	18290
207	12983	18226
208	13042	18160
209	13103	18095
210	13162	18028
211	13224	17965
212	13283	17898
213	13343	17832
214	13403	17767
215	13462	17701
216	13523	17637
217	13582	17570
218	13642	17504
219	13703	17440
220	13765	17377
221	13825	17313
222	13886	17248
223	13949	17187
224	14010	17124
225	14071	17059
226	14131	16995
227	14190	16929
228	14250	16863
229	14310	16798
230	14370	16734
231	14429	16668
232	14489	16604
233	14548	16538
234	14609	16474
235	14671	16411
236	14733	16350
237	14798	16290
238	14859	16226
239	14920	16163
240	14983	16102
241	15044	16039
242	15107	15977
243	15168	15914
244	15229	15851
245	15289	15786
246	15347	15720
247	15409	15657
248	15471	15595
249	15533	15533
250	15595	15471
251	15656	15408
252	15717	15345
253	15779	15282
254	15839	15218
255	15898	15153
256	15961	15092
257	16022	15028
258	16082	14964
259	16143	14901
260	16205	14839
261	16266	14776
262	16327	14713
263	16385	14647
264	16446	14584
265	16506	14521
266	16568	14458
267	16628	14394
268	16689	14331
269	16749	14268
270	16809	14204
271	16870	14141
272	16931	14078
273	16992	14015
274	17050	13950
275	17110	13887
276	17170	13822
277	17231	13760
278	17292	13698
279	17351	13633
280	17411	13569
281	17474	13508
282	17534	13445
283	17594	13381
284	17654	13318
285	17715	13255
286	17777	13193
287	17838	13131
288	17901	13069
289	17960	13006
290	18019	12941
291	18078	12878
292	18141	12816
293	18201	12753
294	18265	12693
295	18331	12633
296	18416	12587
297	18509	12546
298	18590	12497
299	18668	12445
300	18786	12420
301	18885	12381
302	18987	12345
303	19093	12310
304	19178	12261
305	19258	12209
306	19328	12151
307	19406	12097
308	19476	12039
309	19551	11982
310	19620	11923
311	19682	11860
312	19742	11794
313	19805	11731
314	19868	11668
315	19934	11607
316	19999	11545
317	20063	11482
318	20122	11417
319	20184	11354
320	20250	11292
321	20315	11230
322	20380	11168
323	20448	11107
324	20508	11043
325	20568	10978
326	20628	10913
327	20696	10852
328	20769	10795
329	20832	10731
330	20891	10666
331	20953	10602
332	21013	10538
333	21074	10474
334	21133	10409
335	21193	10344
336	21254	10280
337	21317	10217
338	21375	10152
339	21435	10087
340	21496	10023
341	21556	9958
342	21615	9894
343	21674	9829
344	21735	9765
345	21795	9700
346	21854	9636
347	21913	9571
348	21971	9506
349	22033	9442
350	22094	9379
351	22155	9315
352	22217	9251
353	22277	9187
354	22338	9123
355	22397	9059
356	22457	8995
357	22516	8931
358	22575	8866
359	22635	8802
360	22695	8738
361	22753	8674
362	22813	8609
363	22871	8545
364	22933	8482
365	22992	8417
366	23052	8354
367	23119	8292
368	23180	8229
369	23240	8165
370	23298	8101
371	23357	8037
372	23418	7973
373	23476	7909
374	23537	7845
375	23596	7781
376	23656	7718
377	23715	7654
378	23772	7589
379	23833	7526
380	23894	7463
381	23954	7399
382	24012	7335
383	24076	7273
384	24135	7209
385	24195	7145
386	24256	7082
387	24319	7020
388	24386	6958
389	24454	6897
390	24533	6839
391	24606	6779
392	24677	6718
393	24740	6656
394	24806	6594
395	24874	6532
396	24941	6470
397	25016	6411
398	25086	6350
399	25151	6287
400	25215	6225
401	25278	6162
402	25345	6100
403	25408	6037
404	25509	5983
405	25576	5921
406	25645	5860
407	25723	5800
408	25789	5737
409	25855	5675
410	25923	5613
411	25989	5551
412	26054	5488
413	26125	5427
414	26198	5365
415	26273	5305
416	26350	5244
417	26424	5183
418	26492	5121
